"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Financial and insurance activities at current prices","Korea, Republic of","Korean Won","32327200000000","38208500000000","49448800000000","50622000000000","50634000000000","55217700000000","58042700000000","65868100000000","69259500000000","70527700000000","77692200000000","83539400000000","81294200000000","79411100000000","84176300000000","88257800000000","89593700000000","96983700000000","1.041895E+14","1.042517E+14","1.108741E+14","1.244555E+14","1.367548E+14","1.38407E+14","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Bank of Korea","For 2000–2023: Aggregates for GDP were revised as a result of the implementation of the System of National Accounts 2008."
"Financial and insurance activities at current prices","Kyrgyz Republic","Kyrgyzstani Som","296600000","819800000","1131200000","1264600000","1795300000","2250800000","2986400000","4801000000","6939000000","8023400000","8573900000","9956000000","11365600000","13422100000","15593000000","15464500000","15122900000","17872500000","21466700000","22884300000","27302400000","30031900000","62568000000","70464500000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistical Committee of the Kyrgyz Republic",""
"Financial and insurance activities at current prices","Lao People's Democratic Republic","Lao Kip","182886500000","228132640000","272957000000","427961000000","476711000000","423059000000","1022999000000","1126358000000","1483520000000","1619854000000","1856521000000","2242097000000","1496215230000","1952314680000","2018478540000","2917766010000","3174529420000","4065454890000","4662547740000","5162332250000","5136019120000","5433908230000","5678434100000","5933963640000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Lao Statistics Bureau (formerly Department of Statistics)",""
"Financial and insurance activities at current prices","Malaysia","Malaysian Ringgit","48287000000","50986000000","55829000000","57914000000","60531000000","66015000000","72521000000","80827000000","89966000000","94257000000","61578000000","64341000000","70053000000","72390000000","75379000000","78633227000","81456641000","86266730000","90954991000","95026680000","97642646000","107800635000","109716312000","108360411000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Department of Statistics","For 2000–2009: Includes real estate activities; professional, scientific, and technical activities; and administrative and support service activities."
"Financial and insurance activities at current prices","Maldives","Maldivian Rufiyaa","...","326000000","317000000","382509186.99894","466306727.53391","550879407.21513","769725950.2216","856536413.25247","798728460.46172","954689761.60653","1081973715.2761","1721204927.4738","1660975550.831","2030222889.0738","2260462680.3109","2667000000","3092400000","3882100000","4139700000","4441700000","4254200000","6105300000","6262000000","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Bureau of Statistics (formerly Ministry of National Planning, Housing & Infrastructure)","For 2001–2022: Data are at basic prices."
"Financial and insurance activities at current prices","Marshall Islands","US Dollar","6693640","6918940","7322770","7208830","8070190","8185500","9650360","10175380","9570430","8622270","8422030","8185240","7987260","9303150","9998080","10300570","11045570","13546840","15391570","15734790","14218320","13708190","14447310","14901040","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","Economic Policy, Planning, and Statistics Office (formerly Office of Planning and Statistics)",""
"Financial and insurance activities at current prices","Micronesia, Federated States of","US Dollar","4147881","5181470.75","6533655.5","3367738.23439","3148393.025085","4470058.3293058","5317108.7285428","5792823.1220309","5560287.6802134","4929034.8803416","5803626.6387561","7193033.2420772","8409001.7751184","9511405.204489","25148091.681807","11062558.827762","12161303.317271","23120200.231372","65467737.010387","53265381.934954","18429935.187383","17595618.484396","37430186.471761","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","FSM Statistics Division","For 2000–2022: Data refer to finance."
"Financial and insurance activities at current prices","Mongolia","Mongolian Tugrik","30754367670","42534681710","49892102890","74166007850","97562451560","112278766400","116016012600","155198126000","236327418200","212723992300","239607200000","381098010000","583528620000","782311600000","1041781800000","823238185000","904982415000","1103919607000","1274357681000","1561497326000","1690125000000","2059826236000","2556872942000","3122133406000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","2000–2009: 2005. 2010–2014: 2010. 2015–2023: 2015.","National Statistics Office of Mongolia",""
"Financial and insurance activities at current prices","Myanmar","Myanmar Kyat","2641000000","3299000000","4799000000","5297000000","6748000000","10237000000","14399000000","16948000000","20938000000","27392000000","37715000000","65318000000","85346000000","114385000000","139681000000","173402000000","198192200000","277290800000","352113100000","392660800000","418924400000","393101200000","...","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","Central Statistical Organization",""
"Financial and insurance activities at current prices","Nauru","Australian Dollar","...","...","...","...","1551000","1581000","1807000","2015000","2295000","3903000","5239000","6219000","4845000","6089000","8029000","11441000","...","...","...","...","...","...","...","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Nauru Bureau of Statistics (Ministry of Finance)","For 2004–2015: Data were taken from the national accounts tables published on the Nauru Bureau of Statistics website."
"Financial and insurance activities at current prices","Nepal","Nepalese Rupee","36919000000","11454533690","12201742040","12860503270","13728176780","17342000000","21979000000","28467000000","33538530000","39099850000","46083422290","68526688830","74192648400","81160533520","92889711270","107074706900","127484671200","158243367500","186656649900","207134298700","241944959400","253284487100","291012003900","346255287100","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 15 July","","Central Bureau of Statistics","For 2000: Includes real estate activities; professional, scientific, and technical activities; and administrative and support service activities. For 2000 and 2010: Estimates of GDP by industrial origin are based on the 1993 System of National Accounts (SNA) framework. For 2001–2009 and 2011–2023: Estimates of GDP are based on the 2008 SNA where industrial classification is based on the International Standard Industrial Classification of all economic activities, Revision 4 (ISIC Rev.4)."
"Financial and insurance activities at current prices","New Zealand","New Zealand Dollar","5390000000","5906000000","6430000000","7289000000","7803000000","7941000000","7950000000","8149000000","9083000000","11119000000","9975000000","10625000000","10921000000","12265000000","13514000000","13962000000","14487000000","16262000000","17160000000","17595000000","18121000000","20252000000","...","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","Stats NZ Tatauranga Aotearoa",""
